Order_No,Time from Pickup to Arrival
Order_No_19248,1531.9086066427094
Order_No_2699,2711.600381484779
Order_No_21486,1765.6970113826321
Order_No_19336,2186.895364428859
Order_No_20374,2205.3421700182907
Order_No_9830,1377.2261923820738
Order_No_17505,1327.6236343869327
Order_No_23802,2416.9476890795427
Order_No_12736,1181.330086903835
Order_No_6400,2191.9348128403817
Order_No_25920,776.2808430591967
Order_No_24873,1724.9734415216647
Order_No_4511,1150.7810907898217
Order_No_13686,2273.763849834815
Order_No_19317,1556.065356999595
Order_No_2680,1552.2473341041189
Order_No_7097,1201.978571076173
Order_No_22701,1213.8850057511577
Order_No_4881,1543.4522176739788
Order_No_6340,1300.5166584074746
Order_No_27915,1041.1049412439156
Order_No_768,1145.5948153420609
Order_No_28256,1608.3976133301426
Order_No_16940,1857.4034730237045
Order_No_4860,1045.3356255761985
Order_No_19055,1221.279979636269
Order_No_21272,1280.0924108724748
Order_No_2131,1464.4154490255771
Order_No_26647,744.5372234313642
Order_No_15717,1885.7825246934067
Order_No_7499,1361.0061553387206
Order_No_19277,1307.3651301331465
Order_No_21254,3425.821958492572
Order_No_15403,1468.8260586690242
Order_No_3402,2296.1106966007264
Order_No_20766,779.6427607582315
Order_No_14859,1390.665735829687
Order_No_7290,1305.36261921015
Order_No_15168,1532.8317740684283
Order_No_13427,1278.604490139602
Order_No_20894,1643.4440210848031
Order_No_10827,1627.9326650127653
Order_No_9447,1442.289002689334
Order_No_15217,2362.4508921407387
Order_No_2361,1390.9330065138897
Order_No_12210,973.2842092901645
Order_No_15207,2432.7941143959174
Order_No_27745,2226.3002402611564
Order_No_18450,1179.0873456359786
Order_No_21282,1329.2782976049425
Order_No_2842,1037.3414939991073
Order_No_22280,1654.8117992426521
Order_No_15535,1862.3278127084823
Order_No_382,1059.4377098240016
Order_No_21070,1445.5935117167387
Order_No_2603,2636.990042834226
Order_No_16558,1158.6103382723877
Order_No_24712,1334.7980848736354
Order_No_26578,2095.4909021213152
Order_No_21638,889.1210240565073
Order_No_22046,1015.1646150653264
Order_No_23183,1592.897427569032
Order_No_1786,2566.715114081327
Order_No_17033,1175.6886681299582
Order_No_6084,983.9951597850458
Order_No_5317,1477.5283713482884
Order_No_15332,1236.6626718124166
Order_No_1199,1408.2857558463634
Order_No_21864,2372.5672119047354
Order_No_611,2442.452615132374
Order_No_18430,2086.9582949998794
Order_No_8474,2045.3753907024252
Order_No_6339,1035.3121040788178
Order_No_14947,833.6154011960969
Order_No_16077,1875.1959550912272
Order_No_21778,731.3164095289487
Order_No_19143,1378.825243437334
Order_No_25000,2563.1121541854955
Order_No_340,1320.4188372946426
Order_No_8955,1768.7429429238064
Order_No_6197,2131.2697591003707
Order_No_1974,3134.6996664700846
Order_No_22457,1996.9509547161692
Order_No_24241,2252.233564578408
Order_No_23433,2833.8898871006104
Order_No_21373,1066.3114382567405
